# Lambda,Accuracy,Misclassification,Precision of 1,Precision of 9,Recall of 1,Recall of 9
0.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
0.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
0.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
0.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
1.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
1.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
1.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
1.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
1.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
2.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
2.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
2.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
2.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
2.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
3.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
3.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
3.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
3.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
3.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
4.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
4.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
4.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
4.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
4.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
5.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
5.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
5.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
5.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
5.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
6.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
6.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
6.4,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
6.6,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
6.8,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
7.0,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
7.2,0.97506,0.02494,1.00000,0.94149,0.95833,1.00000
7.4,0.97279,0.02721,1.00000,0.93651,0.95455,1.00000
7.6,0.97279,0.02721,1.00000,0.93651,0.95455,1.00000
7.8,0.97279,0.02721,1.00000,0.93651,0.95455,1.00000
8.0,0.97279,0.02721,1.00000,0.93651,0.95455,1.00000
8.2,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
8.4,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
8.6,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
8.8,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
9.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
9.2,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
9.4,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
9.6,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
9.8,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
10.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
10.2,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
10.4,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
20.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
30.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
40.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
50.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
60.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
70.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
80.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
90.0,0.97052,0.02948,1.00000,0.93158,0.95076,1.00000
100.0,0.96825,0.03175,1.00000,0.92670,0.94697,1.00000
